,Start Time,End Time,Distance (mi),Duration (min),Fuel Cost (USD),Average MPG,Fuel Volume (gal),Hard Accelerations,Hard Brakes,Duration Over 70 mph (secs),Duration Over 75 mph (secs),Duration Over 80 mph (secs),Tags
92,2015-06-11 10:36:00,2015-06-11 10:51:00,6.33,15.74,0.55,31.75,0.21,0,0,0,0,0,Other
93,2015-06-10 20:34:00,2015-06-10 20:58:00,15.61,23.3,1.01,42.34,0.37,0,0,0,0,0,commute
94,2015-06-10 09:25:00,2015-06-10 09:47:00,15.5,22.81,1.06,40.22,0.4,0,0,0,0,0,commute
95,2015-06-09 21:54:00,2015-06-09 22:17:00,15.6,23.12,1.06,40.46,0.4,1,0,0,0,0,commute
96,2015-06-09 10:50:00,2015-06-09 11:14:00,15.52,23.99,1.16,36.93,0.42,0,1,0,0,0,commute
97,2015-06-08 22:02:00,2015-06-08 22:24:00,15.61,22.22,1.0,43.28,0.37,0,0,0,0,0,commute
98,2015-06-08 10:49:00,2015-06-08 11:14:00,15.51,25.01,1.08,39.99,0.4,0,0,0,0,0,commute
99,2015-06-07 21:55:00,2015-06-07 22:17:00,15.63,22.77,1.03,42.1,0.37,0,0,0,0,0,commute
100,2015-06-07 10:52:00,2015-06-07 11:14:00,15.51,21.92,1.09,39.52,0.4,1,0,17,0,0,commute
101,2015-06-06 17:31:00,2015-06-06 17:51:00,11.94,20.18,0.8,41.4,0.29,0,0,46,0,0,Other
102,2015-06-06 13:57:00,2015-06-06 14:18:00,11.96,21.42,0.89,37.16,0.32,1,1,15,0,0,Other
103,2015-06-06 12:25:00,2015-06-06 12:39:00,6.13,14.68,0.56,30.11,0.21,0,0,0,0,0,Other
104,2015-06-06 11:24:00,2015-06-06 11:30:00,1.22,6.71,0.14,24.46,0.05,0,0,0,0,0,Other
105,2015-06-06 09:52:00,2015-06-06 10:07:00,6.37,15.15,0.55,31.75,0.21,0,0,0,0,0,Other
106,2015-06-05 21:20:00,2015-06-05 21:38:00,11.61,18.04,0.83,38.81,0.29,0,0,0,0,0,Other
107,2015-06-05 17:16:00,2015-06-05 17:30:00,5.55,13.46,0.44,35.99,0.16,1,1,0,0,0,Other
108,2015-06-05 17:13:00,2015-06-05 17:16:00,0.11,2.88,0.06,5.17,0.03,0,0,0,0,0,Other
109,2015-06-05 08:03:00,2015-06-05 08:27:00,11.08,24.36,0.76,40.69,0.26,0,0,0,0,0,Other
110,2015-06-04 17:03:00,2015-06-04 17:16:00,6.47,12.98,0.44,40.93,0.16,0,0,0,0,0,Other
111,2015-06-04 16:58:00,2015-06-04 17:00:00,0.15,2.45,0.03,12.47,0.0,0,0,0,0,0,Other
112,2015-06-04 16:34:00,2015-06-04 16:43:00,4.02,8.79,0.27,26.34,0.11,1,0,0,0,0,Other
113,2015-06-04 14:37:00,2015-06-04 14:44:00,3.02,6.92,0.23,36.69,0.08,0,0,0,0,0,Other
114,2015-06-04 13:27:00,2015-06-04 13:33:00,2.22,6.33,0.19,33.4,0.08,0,0,0,0,0,Other
115,2015-06-04 12:59:00,2015-06-04 13:13:00,5.08,14.07,0.46,30.34,0.16,0,0,0,0,0,Other
116,2015-06-04 11:51:00,2015-06-04 12:04:00,5.67,13.56,0.48,32.69,0.18,2,0,0,0,0,Other
117,2015-06-04 11:40:00,2015-06-04 11:45:00,1.26,4.98,0.16,22.35,0.05,0,0,0,0,0,Other
118,2015-06-03 20:32:00,2015-06-03 20:55:00,15.61,23.45,1.03,41.87,0.37,1,0,0,0,0,commute
119,2015-06-03 09:22:00,2015-06-03 09:46:00,15.5,24.19,1.08,39.99,0.4,1,1,0,0,0,commute
120,2015-06-02 21:50:00,2015-06-02 22:13:00,15.6,22.84,1.06,40.93,0.37,0,0,0,0,0,commute
121,2015-06-02 10:48:00,2015-06-02 11:11:00,15.5,23.77,1.08,39.75,0.4,1,0,0,0,0,commute
122,2015-06-01 21:54:00,2015-06-01 22:16:00,15.6,22.18,1.05,41.16,0.37,0,1,1,0,0,commute
123,2015-06-01 10:51:00,2015-06-01 11:15:00,15.49,24.28,1.08,39.75,0.4,1,0,6,0,0,commute
124,2015-05-31 21:58:00,2015-05-31 22:20:00,15.61,22.33,1.05,41.16,0.37,2,0,0,0,0,commute
125,2015-05-31 10:46:00,2015-05-31 11:09:00,15.52,23.61,1.16,37.16,0.42,1,1,0,0,0,commute
126,2015-05-30 22:27:00,2015-05-30 22:48:00,12.22,20.66,0.88,38.34,0.32,1,0,0,0,0,Other
127,2015-05-30 19:59:00,2015-05-30 20:20:00,12.16,21.82,0.94,35.99,0.34,0,0,6,0,0,Other
128,2015-05-29 21:00:00,2015-05-29 21:13:00,6.01,13.21,0.46,36.46,0.16,1,0,0,0,0,Other
129,2015-05-29 20:24:00,2015-05-29 20:28:00,0.45,4.07,0.08,16.23,0.03,1,1,0,0,0,Other
130,2015-05-29 19:10:00,2015-05-29 19:24:00,4.72,13.78,0.4,32.93,0.13,1,1,0,0,0,Other
131,2015-05-29 16:29:00,2015-05-29 16:41:00,5.1,11.81,0.43,32.69,0.16,0,1,0,0,0,Other
132,2015-05-29 14:53:00,2015-05-29 15:00:00,3.03,7.79,0.27,31.52,0.11,0,0,0,0,0,Other
133,2015-05-28 16:35:00,2015-05-28 16:41:00,2.14,6.33,0.2,30.34,0.08,0,0,0,0,0,Other
134,2015-05-28 16:17:00,2015-05-28 16:27:00,2.94,9.75,0.3,27.52,0.11,1,0,0,0,0,Other
135,2015-05-28 14:38:00,2015-05-28 14:48:00,3.12,10.06,0.34,25.4,0.13,0,0,0,0,0,Other
136,2015-05-27 20:38:00,2015-05-27 21:03:00,15.6,24.56,1.11,39.05,0.4,1,0,0,0,0,commute
137,2015-05-27 09:32:00,2015-05-27 09:56:00,15.51,24.2,1.1,39.52,0.4,1,0,0,0,0,commute
138,2015-05-26 22:07:00,2015-05-26 22:30:00,15.61,22.73,1.1,39.52,0.4,0,0,0,0,0,commute
139,2015-05-26 10:54:00,2015-05-26 11:19:00,15.49,25.1,1.19,36.22,0.42,3,0,0,0,0,commute
140,2015-05-24 22:07:00,2015-05-24 22:29:00,15.62,22.22,1.06,41.16,0.37,0,0,0,0,0,commute
141,2015-05-24 10:44:00,2015-05-24 11:06:00,15.5,22.46,1.13,38.1,0.4,0,0,138,0,0,commute
142,2015-05-24 01:40:00,2015-05-24 02:03:00,12.17,23.31,0.92,36.69,0.34,0,0,0,0,0,Other
143,2015-05-23 22:53:00,2015-05-23 23:04:00,3.94,10.83,0.33,32.46,0.13,0,0,0,0,0,Other
144,2015-05-23 21:14:00,2015-05-23 21:18:00,1.19,3.85,0.11,33.17,0.03,0,0,0,0,0,Other
145,2015-05-23 21:02:00,2015-05-23 21:08:00,1.18,6.37,0.16,20.23,0.05,0,1,0,0,0,Other
146,2015-05-23 17:04:00,2015-05-23 17:16:00,2.63,11.74,0.28,26.11,0.11,0,0,0,0,0,Other
147,2015-05-23 16:58:00,2015-05-23 16:59:00,0.04,1.38,0.02,6.12,0.0,0,0,0,0,0,Other
148,2015-05-23 15:31:00,2015-05-23 15:44:00,5.33,13.39,0.49,30.11,0.18,1,0,0,0,0,Other
149,2015-05-21 17:31:00,2015-05-21 17:35:00,1.06,4.22,0.1,30.11,0.03,0,0,0,0,0,Other
150,2015-05-21 17:04:00,2015-05-21 17:21:00,6.07,16.89,0.52,32.69,0.18,1,0,0,0,0,Other
